predict,Age,Bmi,Weight,Height,Pulse,Temperature,Pat_Pain_Score,ER_Visits,IP_Visits,Chronic_Conditions,Glucose,Cost_Of_Initial_Stay,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,F,M,Married,Single,Commercial,Medicaid,Medicare,Never,Not Asked,Passive,Quit,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Heart_Failure,Pneumonia,Discharged to Home,Expired,Home Health,Hospice,Skilled Nursing Facility,Telehealth
0,71.48661157024793,25.82453333501771,174.62931442080378,68.94146222977896,81.6073199527745,97.7708152016246,1.4587957497048407,0.9907910271546635,0.06469893742621015,4.780165289256199,129.5556080283353,6807.08079338843,0.1293978748524203,0.14214876033057852,0.13034238488783945,0.12774498229043685,0.14521841794569068,0.1808736717827627,0.14427390791027156,0.08642266824085006,0.07083825265643448,0.09327036599763873,0.07579693034238488,0.12255017709563164,0.06493506493506493,0.08004722550177096,0.10011806375442739,0.08406139315230224,0.07603305785123966,0.0769775678866588,0.06894923258559622,0.21345926800472256,0.7865407319952774,0.6408500590318772,0.3591499409681228,0.17497048406139315,0.05360094451003542,0.7714285714285715,0.2642266824085006,0.008264462809917356,0.0014167650531286896,0.564344746162928,0.1617473435655254,0.9572609208972845,0.04273907910271547,0.9482880755608029,0.051711924439197164,0.9638724911452184,0.03612750885478158,0.987012987012987,0.012987012987012988,0.9931523022432114,0.006847697756788666,0.8453364817001181,0.15466351829988192,0.995749704840614,0.004250295159386069,0.9487603305785124,0.0512396694214876,0.34238488783943327,0.6576151121605667,0.3933884297520661,0.04179456906729634,0.17119244391971664,0.04439197166469894,0.18252656434474615,0.1667060212514758
1,68.69469655549482,31.35852232675779,197.4723287671233,66.58955642897249,78.97102241662111,97.75444596443228,3.4680153089119736,4.669764898851832,0.5221432476763258,10.480043739748496,157.9715691634773,9476.091591033352,0.13723346090759977,0.19956260251503555,0.11700382722799343,0.11044286495352652,0.12903225806451613,0.16566429743028976,0.14106068890103882,0.07927829414980864,0.0683433570256971,0.11427009294696555,0.06724986331328595,0.07873154729360306,0.08583925642427556,0.09349371241115363,0.0803717878622198,0.0825587752870421,0.07053034445051941,0.09185347184253691,0.08747949699289229,0.4833242208857299,0.5166757791142701,0.4144341170038272,0.5855658829961727,0.10114816839803172,0.09732094040459267,0.8015308911973756,0.22471295790049206,0.0005467468562055768,0.0,0.5899398578458174,0.18480043739748497,0.9065062875888463,0.09349371241115363,0.9442318206670312,0.055768179332968834,0.953526517222526,0.046473482777474026,0.981957353745216,0.018042646254784037,0.9764898851831602,0.023510114816839803,0.7107709130672498,0.2892290869327501,0.9201749589939858,0.07982504100601422,0.9043193001640241,0.09568069983597595,0.6478950246036085,0.35210497539639146,0.2072170585019136,0.03335155822854018,0.3466375068343357,0.05084745762711865,0.2383816293056315,0.12356478950246036
2,62.439581804842256,41.325564154691854,270.39360529217197,67.77183734939759,77.42296404988996,97.63845446182152,2.0876742479823918,1.268892149669846,0.050256786500366836,6.799706529713866,173.26632428466618,7077.1800880410865,0.16581071166544387,0.19442406456346295,0.11261922230374175,0.11665443873807776,0.14783565663976522,0.13279530447542187,0.12986060161408658,0.0818048422597212,0.06639765223771094,0.09134262655906089,0.07300073367571533,0.10674981658107116,0.07887013939838591,0.07079970652971386,0.10014673514306677,0.08584005869405723,0.0880410858400587,0.08107116654438738,0.07593543653705062,0.42516507703595013,0.5748349229640499,0.5458547322083639,0.4541452677916361,0.2652237710931768,0.12289068231841525,0.6118855465884079,0.3066764490095378,0.003301540719002201,0.001467351430667645,0.5311812179016875,0.1573734409391049,0.9449743213499633,0.055025678650036686,0.9482758620689655,0.05172413793103448,0.9556126192223038,0.04438738077769626,0.987527512839325,0.012472487160674981,0.9776228906823184,0.022377109317681585,0.6852531181217901,0.3147468818782098,0.7956713132795304,0.20432868672046955,0.942039618488628,0.05796038151137197,0.5788701393983859,0.42112986060161406,0.40095377842993396,0.019075568598679385,0.23074101247248716,0.013939838591342627,0.14636830520909758,0.18892149669845928
3,78.9960859188544,27.30442503851551,153.0492587278814,62.78838678328474,76.39761336515514,97.69558691083759,1.6940334128878283,1.398090692124105,0.06252983293556086,6.65417661097852,135.4257756563246,6895.835906921241,0.18138424821002386,0.15489260143198091,0.12147971360381861,0.13221957040572793,0.1334128878281623,0.1341288782816229,0.14248210023866348,0.09522673031026253,0.07088305489260144,0.11455847255369929,0.07756563245823389,0.07995226730310262,0.06921241050119331,0.07780429594272076,0.0954653937947494,0.09164677804295943,0.07899761336515514,0.07494033412887828,0.07374701670644392,0.8749403341288783,0.12505966587112172,0.28329355608591883,0.7167064439140811,0.04510739856801909,0.026014319809069212,0.9288782816229116,0.4212410501193317,0.009069212410501194,0.002863961813842482,0.48138424821002385,0.08544152744630072,0.9393794749403341,0.06062052505966587,0.9637231503579953,0.036276849642004776,0.9696897374701671,0.030310262529832935,0.9918854415274463,0.008114558472553698,0.986873508353222,0.013126491646778043,0.8262529832935561,0.1737470167064439,0.98854415274463,0.011455847255369928,0.9233890214797136,0.0766109785202864,0.6112171837708831,0.3887828162291169,0.20429594272076373,0.03341288782816229,0.31599045346062055,0.04510739856801909,0.2692124105011933,0.13198090692124104
